id,text,sentiment,event_type,market_regime,tone,source,published_at,url,note
1,[뉴욕채권] 美 '깜짝 고용'에 관심사는 다시 인플레…금리인상 베팅↑. 고용시장이 예상보다 견고하다는 점이 확인되면서 올해 연방준비제도(Fed·연준)가 기준금리 인상에 나설 수 있다는 베팅이 다시 강해졌다. 고용이 안정된 만큼 연준이 이중 책무의 또 다른 하나인 물가 안정에 더...,negative,macro_data,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 04:30:00 +0900",https://news.einfomax.co.kr/news/articleView.html?idxno=4407691,기준금리
2,"美 2년채 금리 3.8%대 후반 상승…""고용 호조에 금리인하 기대 후퇴"". 시카고상품거래소(CME)의 페드워치(FedWatch)에선 미국 동부시간으로 오전 9시 시점에 기준금리가 2027년 9월까지 동결된다는 전망이 가장 우세한 것으로 나타났다. 금리 상승은 시장이 연내 금리 인하 가능성을...",negative,monetary_policy,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 03:58:00 +0900",https://www.newsis.com/view/NISX20260404_0003577671,기준금리
3,"50년 전 오일쇼크와 다르다…전쟁에도 맥 못추는 금·채권. 실제 시카고상업거래소(CME) 페드워치에서는 연내 기준금리 인상 확률이 한때 50%를 넘어서기도 했다. 스코샤은행의 에릭 테오레 FX 전략가는 “지금은 시장이 위험을 피하려는 ‘리스크 오프’ 국면으로, 그 과정에서...",negative,geopolitics,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 00:02:00 +0900",https://www.joongang.co.kr/article/25417399,기준금리
4,"‘보유세 6단계’ 동시에 뛴 문 정부, 종부세 총액 15배 증가. 물가를 잡기 위해 미국 연방준비제도이사회(Fed)는 기준금리를 0%에서 5.5%까지 11번에 걸쳐 인상했다. 한국 부동산 시장이 꺾이게 된 이유 중 하나다. 2022년에 취임한 윤석열 정부는 전방위적인 세금 완화 조치를 취했다....",exclude,exclude,exclude,exclude,naver_news_search_api,"Sat, 04 Apr 2026 00:02:00 +0900",https://www.joongang.co.kr/article/25417398,기준금리
5,미국 3월 고용 17.8만 명 증가...실업률 4.3%로 하락. 시카고 상업 거래소(CME)의 페드 워치에서 금리 선물 시장은 고용 지표 발표 직후 오는 12월까지 연준이 기준금리를 현 3.5∼3.75%로 동결할 확률을 81%로 반영했습니다. 하루 전 이 확률은 76%였습니다. 제롬 파월 연준...,negative,macro_data,risk_off,hawkish,naver_news_search_api,"Sat, 04 Apr 2026 00:00:00 +0900",https://www.ytn.co.kr/_ln/0104_202604040000227252,기준금리
6,미 3월 고용 17만8천명 '깜짝증가'…실업률 4.3%로 하락. 시카고상업거래소(CME)의 페드워치에 따르면 금리 선물시장은 고용지표 발표 직후 오는 12월까지 연준이 기준금리를 현 3.50∼3.75%로 동결할 확률을 81%로 반영했습니다. 하루 전 이 확률은 76%였습니다. 제롬 파월 연준...,negative,macro_data,risk_off,hawkish,naver_news_search_api,"Fri, 03 Apr 2026 23:10:00 +0900",http://mbnmoney.mbn.co.kr/news/view?news_no=MM1005805955,기준금리
7,미 3월 고용 예상 뛰어넘는 17만 8천 명 증가…실업률 4.3%로 하락. 시카고상업거래소(CME)의 페드워치에 따르면 금리 선물시장은 고용지표 발표 직후 오는 12월까지 연준이 기준금리를 현 3.50∼3.75%로 동결할 확률을 81%로 반영했습니다. 하루 전 이 확률은 76%였습니다. 제롬 파월 연준...,negative,macro_data,risk_off,hawkish,naver_news_search_api,"Fri, 03 Apr 2026 23:07:00 +0900",https://news.sbs.co.kr/news/endPage.do?news_id=N1008504929&plink=ORI&cooper=NAVER,기준금리
8,美 3월 고용 17.8만명 '깜짝 증가'. 시장에서는 올해 연준이 금리를 인하할 것이라는 기대도 한층 약해지는 분위기다. 연준이 적어도 6월까지는 기준금리를 현 수준에서 유지할 가능성이 높다는 관측도 힘을 얻고 있다.,negative,monetary_policy,risk_off,hawkish,naver_news_search_api,"Fri, 03 Apr 2026 22:47:00 +0900",https://www.mk.co.kr/article/12007835,기준금리
9,"미 3월 고용 17만8천명 '깜짝증가'…실업률 4.3%로 하락(종합). 이란전쟁發 고용약화 우려 불식…시장 관심 인플레로 옮겨갈 듯 연내 기준금리 동결 기대도 상승…파월도 ""지켜보기 좋은 위치"" 이지헌 특파원 = 미·이란 전쟁에 따른 유가 급등이 경기 둔화를 초래할 수 있다는...",negative,macro_data,risk_off,hawkish,naver_news_search_api,"Fri, 03 Apr 2026 22:43:00 +0900",https://www.yna.co.kr/view/AKR20260403168552072?input=1195m,기준금리
10,"비농업 고용 발표 후 연준 6월 금리 동결 확률 97.5%로 상승. Odaily에 따르면 비농업 고용 발표 이후 CME 페드워치 기준으로 미 연준의 6월 기준금리 동결 확률이 97.5%로 상승했다. 같은 시점까지 25bp 인하 확률은 2.0%로 낮아졌고, 25bp 인상 확률은 0.5%로 집계됐다. 4월...",neutral,monetary_policy,neutral,neutral,naver_news_search_api,"Fri, 03 Apr 2026 22:30:00 +0900",https://www.tokenpost.kr/news/breaking/346185,기준금리
